"PART_CD","COLOR_CD","SIZE_CD","ORD_QTY"
DMDJ85046,BGD,"95",230
DMDJ85046,BGD,"100",400
DMDJ85046,BGD,"105",270
DMDJ85046,BGD,"110",100
DMDJ85046,BKS,"95",360
DMDJ85046,BKS,"100",920
DMDJ85046,BKS,"105",800
DMDJ85046,BKS,"110",420
DMDJ85046,IVD,"95",230
DMDJ85046,IVD,"100",400
DMDJ85046,IVD,"105",270
DMDJ85046,IVD,"110",100
DWDJ68046,BKS,"85",2870
DWDJ68046,BKS,"90",9820
DWDJ68046,BKS,"95",12780
DWDJ68046,BKS,"100",5400
DWDJ68046,BKS,"105",1130
DWDJ68046,GRD,"85",180
DWDJ68046,GRD,"90",630
DWDJ68046,GRD,"95",810
DWDJ68046,GRD,"100",380
DWDJ68046,GRL,"85",200
DWDJ68046,GRL,"90",630
DWDJ68046,GRL,"95",810
DWDJ68046,GRL,"100",360
DWDJ68046,IVD,"85",440
DWDJ68046,IVD,"90",1430
DWDJ68046,IVD,"95",1600
DWDJ68046,IVD,"100",530
DWDJ68046,WHS,"85",460
DWDJ68046,WHS,"90",1560
DWDJ68046,WHS,"95",1550
DWDJ68046,WHS,"100",430
DWDJ8P046,BGL,"85",740
DWDJ8P046,BGL,"90",2080
DWDJ8P046,BGL,"95",2040
DWDJ8P046,BGL,"100",1140
DWDJ8P046,BKS,"85",490
DWDJ8P046,BKS,"90",1930
DWDJ8P046,BKS,"95",3170
DWDJ8P046,BKS,"100",2410
DWDJ8P046,IVS,"85",1090
DWDJ8P046,IVS,"90",3260
DWDJ8P046,IVS,"95",3330
DWDJ8P046,IVS,"100",1320
DWDJ8P046,SIL,"85",180
DWDJ8P046,SIL,"90",540
DWDJ8P046,SIL,"95",540
DWDJ8P046,SIL,"100",240
DWDJ8P046,VOS,"85",110
DWDJ8P046,VOS,"90",300
DWDJ8P046,VOS,"95",360
DWDJ8P046,VOS,"100",230
DWLG42044,BKS,XS,70
DWLG42044,BKS,S,190
DWLG42044,BKS,M,440
DWLG42044,BKS,L,300
DWLG42044,KAD,XS,60
DWLG42044,KAD,S,180
DWLG42044,KAD,M,360
DWLG42044,KAD,L,200
DXDJ8C046,BES,"90",110
DXDJ8C046,BES,"95",350
DXDJ8C046,BES,"100",570
DXDJ8C046,BES,"105",430
DXDJ8C046,BES,"110",140
DXDJ8C046,BKN,"90",150
DXDJ8C046,BKN,"95",490
DXDJ8C046,BKN,"100",780
DXDJ8C046,BKN,"105",630
DXDJ8C046,BKN,"110",250
DXDJ8C046,BKN,"92",100
DXDJ8C046,BKP,"90",40
DXDJ8C046,BKP,"95",110
DXDJ8C046,BKP,"100",160
DXDJ8C046,BKP,"105",130
DXDJ8C046,BKP,"110",60
DXDJ8C046,BKS,"90",640
DXDJ8C046,BKS,"95",2150
DXDJ8C046,BKS,"100",3360
DXDJ8C046,BKS,"105",2780
DXDJ8C046,BKS,"110",1270
DXDJ8C046,BKS,"92",800
DXDJ8C046,GRN,"90",120
DXDJ8C046,GRN,"95",370
DXDJ8C046,GRN,"100",680
DXDJ8C046,GRN,"105",410
DXDJ8C046,GRN,"110",120
DXDJ8C046,GRN,"92",100
DXDJ8C046,GRP,"90",40
DXDJ8C046,GRP,"95",110
DXDJ8C046,GRP,"100",160
DXDJ8C046,GRP,"105",130
DXDJ8C046,GRP,"110",60
DXDJ8C046,GRS,"90",280
DXDJ8C046,GRS,"95",770
DXDJ8C046,GRS,"100",1120
DXDJ8C046,GRS,"105",930
DXDJ8C046,GRS,"110",400
DXDJ8C046,IVS,"90",370
DXDJ8C046,IVS,"95",720
DXDJ8C046,IVS,"100",540
DXDJ8C046,IVS,"105",470
DXDJ8C046,IVS,"110",100
DXDJ8C046,OLD,"95",180
DXDJ8C046,OLD,"100",320
DXDJ8C046,OLD,"105",270
DXDJ8C046,OLD,"110",120
DXDJ8C046,OLD,"92",110
DXMT33044,BES,"90",340
DXMT33044,BES,"95",830
DXMT33044,BES,"100",1230
DXMT33044,BES,"105",890
DXMT33044,BES,"110",510
DXMT33044,BKS,"85",300
DXMT33044,BKS,"90",1000
DXMT33044,BKS,"95",1920
DXMT33044,BKS,"100",2260
DXMT33044,BKS,"105",1860
DXMT33044,BKS,"110",1160
DXMT33044,CRS,"85",400
DXMT33044,CRS,"90",1100
DXMT33044,CRS,"95",1500
DXMT33044,CRS,"100",1350
DXMT33044,CRS,"105",780
DXMT33044,CRS,"110",470
DXMT33044,MGL,"85",130
DXMT33044,MGL,"90",720
DXMT33044,MGL,"95",1200
DXMT33044,MGL,"100",1480
DXMT33044,MGL,"105",1040
DXMT33044,MGL,"110",530
DXMT33044,OLS,"90",170
DXMT33044,OLS,"95",320
DXMT33044,OLS,"100",470
DXMT33044,OLS,"105",370
DXMT33044,OLS,"110",170
DXMT33044,PPD,"85",100
DXMT33044,PPD,"90",350
DXMT33044,PPD,"95",430
DXMT33044,PPD,"100",340
DXMT33044,PPD,"105",180
DXMT33044,PPD,"110",100
DXMT33044,TQS,"90",350
DXMT33044,TQS,"95",630
DXMT33044,TQS,"100",930
DXMT33044,TQS,"105",740
DXMT33044,TQS,"110",350
