SHOP_ID,SKU_COUNT,TOTAL_QTY,CAPACITY,UTILIZATION_RATE
10003,4,500,500,100.0
10004,4,500,500,100.0
10007,4,510,510,100.0
10009,5,500,500,100.0
10011,5,500,500,100.0
10018,6,500,500,100.0
10021,7,500,500,100.0
10023,5,500,500,100.0
10025,5,500,500,100.0
10027,4,500,500,100.0
10035,7,500,500,100.0
10038,5,500,500,100.0
10043,5,500,500,100.0
10044,5,500,500,100.0
10046,4,500,500,100.0
10047,4,500,500,100.0
10050,6,644,644,100.0
10053,6,500,500,100.0
10055,5,500,500,100.0
10056,6,500,500,100.0
10057,7,500,500,100.0
10059,5,500,500,100.0
10060,4,500,500,100.0
10061,4,500,500,100.0
10063,5,500,500,100.0
10064,4,500,500,100.0
10068,5,500,500,100.0
10069,5,500,500,100.0
10070,4,517,517,100.0
10075,4,500,500,100.0
10077,5,500,500,100.0
10078,4,500,500,100.0
10079,5,500,500,100.0
10087,5,500,500,100.0
10091,5,500,500,100.0
10096,5,500,500,100.0
10097,5,500,500,100.0
30007,4,500,500,100.0
30010,4,500,500,100.0
30011,6,500,500,100.0
30015,7,500,500,100.0
30016,5,500,500,100.0
30019,84,79131,569,13907.029876977154
30020,4,500,500,100.0
30022,4,500,500,100.0
30023,5,500,500,100.0
30024,7,500,500,100.0
30025,5,722,722,100.0
30028,4,500,500,100.0
30030,4,500,500,100.0
30031,5,500,500,100.0
30032,6,500,500,100.0
30033,5,500,500,100.0
30034,4,500,500,100.0
30035,6,500,500,100.0
30037,4,500,500,100.0
30038,4,500,500,100.0
30039,7,500,500,100.0
30040,5,757,757,100.0
30041,5,519,519,100.0
30042,5,500,500,100.0
30043,7,500,500,100.0
30044,5,500,500,100.0
30045,4,500,500,100.0
30046,5,500,500,100.0
30049,5,500,500,100.0
30051,4,500,500,100.0
30053,6,500,500,100.0
30054,5,500,500,100.0
50001,4,500,500,100.0
50007,4,500,500,100.0
50023,6,500,500,100.0
50053,5,500,500,100.0
50057,5,500,500,100.0
50063,4,500,500,100.0
50065,5,500,500,100.0
50074,4,500,500,100.0
50077,5,500,500,100.0
50089,4,500,500,100.0
50096,5,500,500,100.0
50098,4,500,500,100.0
50101,4,500,500,100.0
50106,6,500,500,100.0
50118,5,500,500,100.0
50120,4,500,500,100.0
50121,5,500,500,100.0
50126,5,500,500,100.0
50134,5,500,500,100.0
50146,5,500,500,100.0
50151,4,500,500,100.0
50162,6,500,500,100.0
50179,4,500,500,100.0
50180,5,500,500,100.0
50185,5,500,500,100.0
50186,5,500,500,100.0
50193,5,500,500,100.0
50195,5,500,500,100.0
50205,5,500,500,100.0
50207,5,500,500,100.0
50210,5,500,500,100.0
